Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
1,4,40,38,7398,2224,23406,13,185,16192490574327900,13,70,1,13,4,63894552
0,5,32,76,2811,4416,42741,8,533,1487597173739530,26,34,1,48,6,49020783
1,3,47,48,4829,2796,37285,18,853,5684918945954190,53,67,0,27,14,54136862
1,3,44,34,5155,1167,15214,13,82,20543326529316200,46,28,1,9,17,4045568
0,4,49,88,7598,3639,40171,9,78,24168158411313100,86,21,0,37,26,149104635
0,2,44,79,3569,6787,75378,5,400,24754446077604800,20,85,1,27,22,6442209
1,5,49,49,353,2594,32587,11,106,20615903496120400,15,53,0,12,28,40034865
2,4,41,61,7365,3213,33429,14,377,135319312410584,18,46,0,56,23,101415365
1,4,42,37,7375,3437,37102,18,494,5565241712047430,71,94,1,27,24,6356061
1,1,50,32,598,2569,28419,18,907,2739448868142820,64,74,0,12,19,45292065
1,1,43,48,5925,2840,36487,16,520,1572615545943510,67,71,0,16,45,6564746
1,2,31,40,3211,2792,34058,4,419,20029386216601900,24,27,0,4,20,29533314
0,5,44,77,356,8511,88420,19,741,9863901879525550,56,29,1,46,39,6452683
1,0,48,42,4555,1968,22976,5,420,8548892948147300,79,53,1,4,39,43746835
2,1,46,59,6322,3282,39922,2,988,7170442820197950,72,69,0,18,1,8360119
0,0,42,87,3826,2460,27600,17,687,2496913013045970,49,46,1,38,47,76041388
2,3,43,61,477,1315,20612,4,685,21161517831811800,19,16,1,30,48,6510680
2,1,50,56,6587,3994,42576,6,971,205289814737296,88,71,1,24,41,83612303
2,1,32,60,5573,2270,23723,18,421,2798494369218280,57,80,1,50,45,7678697
2,5,43,59,3428,1940,20192,6,539,8967805980487970,90,95,1,0,43,46465352
0,2,36,72,3391,2462,26536,15,302,9256733795290150,49,47,0,37,10,56171045
0,0,43,76,3961,3444,40515,1,535,9736728738358500,31,33,0,65,65,67687989
2,1,42,53,6415,1957,22672,17,920,1558423575663220,38,93,1,40,46,77956505
2,1,33,57,560,2348,26717,2,307,26855543375298300,48,74,0,41,14,71569985
0,5,34,77,289,6712,72937,4,488,27036853151506000,65,16,1,16,25,51126645
0,5,42,75,3547,2035,24134,3,651,1976469341342260,79,62,1,35,2,59951834
0,2,33,82,3769,1418,18874,3,67,21453572446586300,32,13,1,51,17,68785464
1,0,35,41,433,3124,37912,14,268,2744405859037030,27,30,0,13,19,4141439
1,3,47,32,5333,2362,29777,8,561,20605473886592400,28,16,1,16,23,39217036
1,2,37,35,3067,2749,29486,8,227,10744991945883000,94,28,0,27,15,25652549
2,3,40,68,4724,3194,36724,9,258,2262285170828840,25,54,0,5,9,72425264
1,4,49,40,704,2029,27413,18,862,24247269352847400,41,37,0,8,21,64678375
2,1,35,53,5905,2351,31725,7,576,20883615580370600,54,18,0,10,19,70397055
2,0,38,64,3952,3799,44954,10,284,11839236586058000,60,53,1,7,48,58025012
1,2,42,31,386,956,14320,1,184,149979462398385,87,74,0,14,15,2747428
2,1,45,64,5516,4028,40754,4,258,16764810191168500,20,15,1,51,9,79077786
1,0,48,46,4227,3810,44176,4,260,8632460453859490,20,89,1,22,25,44570847
1,0,48,31,350,4536,51384,14,716,16305581361499600,38,69,1,5,16,2685052
0,0,46,76,3569,3560,41693,5,601,9029935583230020,47,57,1,38,11,61459982
1,1,35,45,5949,2143,21600,5,322,17486293601821300,44,46,0,10,6,60166429
0,2,30,74,3925,2397,29088,19,209,6270268963819650,45,45,0,4,60,6675654
1,5,38,45,2659,3754,44524,5,193,2871328729903000,87,40,0,30,32,28328623
1,1,33,48,611,2520,28671,11,752,11158621606746400,85,20,1,15,43,66879455
0,0,44,71,4246,6923,75267,2,557,16675357746440200,82,17,0,29,61,68624379
0,2,43,84,3252,3365,37755,15,783,5818804413308940,78,38,0,24,17,62887249
1,4,31,33,7064,1576,20621,14,383,9818038054992450,14,70,0,11,10,53435977
2,3,47,51,5503,2420,26703,14,551,22331124795839400,23,36,0,2,11,63836261
0,0,35,79,4063,4396,52183,8,493,7795015078472340,76,83,0,52,31,73245107
2,4,39,54,6673,1668,19396,8,803,20703729024102700,64,44,0,3,35,81016252
2,5,43,67,3191,2715,31583,5,922,50517222858584900,71,67,0,49,35,49029152
2,0,39,53,4151,2028,23259,5,899,16625233144891500,75,49,0,47,9,50133408
0,4,39,70,653,2139,28365,14,135,23033591018082100,92,55,0,14,40,103082195
2,0,31,67,360,2063,27503,5,229,28157321572843200,67,33,0,31,2,54434365
0,1,38,89,5672,6601,71072,9,129,17320904402310300,35,56,1,84,47,114022294
2,2,45,55,315,976,17078,11,866,26013311743465600,17,20,1,1,47,3978294
1,4,48,49,6785,1092,14277,17,610,25064783868041400,49,45,0,45,48,75968025
1,2,38,49,350,3448,40630,12,203,12394269426687700,74,50,0,47,38,4043695
0,1,38,83,5909,1578,16962,12,228,2686834059779190,35,73,1,66,75,110348172
1,1,44,39,648,2632,31401,16,348,21007074495231400,21,46,1,24,15,58154805
1,2,49,47,3673,2117,21300,1,375,7604616202158990,100,70,1,26,28,39453581
2,4,35,58,7464,3294,37894,18,804,2847781991489700,48,26,1,26,48,98374434
0,2,39,81,358,3917,39953,6,888,9416918538346430,29,12,1,8,64,65533295
2,2,46,59,3099,1633,21961,5,58,16759023682407300,25,56,0,35,27,41505672
2,3,42,70,501,1693,25006,18,477,16659134638627400,88,53,1,10,44,8005322
2,4,32,68,7404,701,9386,13,241,20630915578522500,84,70,1,38,59,113248836
2,3,43,55,4714,1715,25940,6,139,21623919141961900,65,38,0,6,53,58588006
2,0,34,63,360,1737,20253,7,51,10822695740968400,59,13,1,12,39,51284815
2,2,40,57,3362,3076,34682,3,469,13811062212940800,96,75,1,6,25,43955678
2,0,41,63,3928,1666,17128,11,52,8614755115768800,31,95,0,41,21,56514092
0,4,48,80,6837,1999,22056,8,999,8150393351238880,47,45,1,46,24,12213276
1,2,39,45,3149,2413,23681,4,454,256266838810939,12,65,0,42,23,32594235
2,0,36,69,3776,1825,18960,10,541,23768033508177100,48,59,1,5,6,59112422
2,5,35,55,3251,1000,11598,9,756,16067087165721100,45,61,0,3,20,41022258
2,1,47,64,5925,1986,22315,13,314,7397732096073180,95,88,1,42,0,85980925
2,2,33,64,3696,998,15828,19,829,16248043584248800,42,76,1,24,59,54994544
2,1,39,63,609,2279,25738,15,292,12361392343620000,85,79,1,19,1,8699447
2,3,34,70,5104,1834,17917,5,726,24447980510687700,79,18,0,24,16,79943365
1,0,45,41,3773,2419,31439,13,774,741598336108543,23,23,0,36,27,36320311
1,3,39,31,5074,3498,43114,12,982,1628421384362640,97,70,1,8,15,37535758
2,2,37,57,3026,2634,27596,9,409,19784676090747600,67,59,1,40,52,4019683
1,1,37,48,5975,2156,27054,8,244,2964313133032630,64,80,1,43,18,65201145
0,1,47,83,613,6348,72995,9,548,7240203279801810,11,18,1,82,46,114681425
2,0,41,54,370,3050,37196,13,617,7849011804174150,73,61,0,11,13,4658188
0,2,44,78,3282,5259,54074,9,666,29701229005412500,15,54,1,34,55,58792642
0,5,48,82,2741,2540,27671,6,262,1514062886157250,27,87,1,67,28,51225028
2,5,48,58,2578,1725,21828,6,880,23592857679953600,19,27,0,55,1,34264014
