Name;Location;Cuisine;Rating;Seating Capacity;Average Meal Price;Marketing Budget;Social Media Followers;Chef Experience Years;Number of Reviews;Avg Review Length;Ambience Score;Service Quality Score;Parking Availability;Weekend Reservations;Weekday Reservations;Revenue
Restaurant 0;Rural;Japanese;4.0;38;73.98;2224;23406;13;185;16.192.490.574.327.900;1.3;7.0;Yes;13;4;638945.52
Restaurant 1;Downtown;Mexican;3.2;76;28.11;4416;42741;8;533;1.487.597.173.739.530;2.6;3.4;Yes;48;6;490207.83
Restaurant 2;Rural;Italian;4.7;48;48.29;2796;37285;18;853;5.684.918.945.954.190;5.3;6.7;No;27;14;541368.62
Restaurant 3;Rural;Italian;4.4;34;51.55;1167;15214;13;82;20.543.326.529.316.200;4.6;2.8;Yes;9;17;404556.8
Restaurant 4;Downtown;Japanese;4.9;88;75.98;3639;40171;9;78;24.168.158.411.313.100;8.6;2.1;No;37;26;1491046.35
Restaurant 5;Downtown;Indian;4.4;79;35.69;6787;75378;5;400;24.754.446.077.604.800;2.0;8.5;Yes;27;22;644220.9
Restaurant 6;Rural;Mexican;4.9;49;35.3;2594;32587;11;106;20.615.903.496.120.400;1.5;5.3;No;12;28;400348.65
Restaurant 7;Suburban;Japanese;4.1;61;73.65;3213;33429;14;377;135.319.312.410.584;1.8;4.6;No;56;23;1014153.65
Restaurant 8;Rural;Japanese;4.2;37;73.75;3437;37102;18;494;5.565.241.712.047.430;7.1;9.4;Yes;27;24;635606.1
Restaurant 9;Rural;French;5.0;32;59.8;2569;28419;18;907;2.739.448.868.142.820;6.4;7.4;No;12;19;452920.65
Restaurant 10;Rural;French;4.3;48;59.25;2840;36487;16;520;1.572.615.545.943.510;6.7;7.1;No;16;45;656474.6
Restaurant 11;Rural;Indian;3.1;40;32.11;2792;34058;4;419;20.029.386.216.601.900;2.4;2.7;No;4;20;295333.14
Restaurant 12;Downtown;Mexican;4.4;77;35.6;8511;88420;19;741;9.863.901.879.525.550;5.6;2.9;Yes;46;39;645268.3
Restaurant 13;Rural;American;4.8;42;45.55;1968;22976;5;420;8.548.892.948.147.300;7.9;5.3;Yes;4;39;437468.35
Restaurant 14;Suburban;French;4.6;59;63.22;3282;39922;2;988;7.170.442.820.197.950;7.2;6.9;No;18;1;836011.9
Restaurant 15;Downtown;American;4.2;87;38.26;2460;27600;17;687;2.496.913.013.045.970;4.9;4.6;Yes;38;47;760413.88
Restaurant 16;Suburban;Italian;4.3;61;47.7;1315;20612;4;685;21.161.517.831.811.800;1.9;1.6;Yes;30;48;651068.0
Restaurant 17;Suburban;French;5.0;56;65.87;3994;42576;6;971;205.289.814.737.296;8.8;7.1;Yes;24;41;836123.03
Restaurant 18;Suburban;French;3.2;60;55.73;2270;23723;18;421;2.798.494.369.218.280;5.7;8.0;Yes;50;45;767869.7
Restaurant 19;Suburban;Mexican;4.3;59;34.28;1940;20192;6;539;8.967.805.980.487.970;9.0;9.5;Yes;0;43;464653.52
Restaurant 20;Downtown;Indian;3.6;72;33.91;2462;26536;15;302;9.256.733.795.290.150;4.9;4.7;No;37;10;561710.45
Restaurant 21;Downtown;American;4.3;76;39.61;3444;40515;1;535;9.736.728.738.358.500;3.1;3.3;No;65;65;676879.89
Restaurant 22;Suburban;French;4.2;53;64.15;1957;22672;17;920;1.558.423.575.663.220;3.8;9.3;Yes;40;46;779565.05
Restaurant 23;Suburban;French;3.3;57;56.0;2348;26717;2;307;26.855.543.375.298.300;4.8;7.4;No;41;14;715699.85
Restaurant 24;Downtown;Mexican;3.4;77;28.9;6712;72937;4;488;27.036.853.151.506.000;6.5;1.6;Yes;16;25;511266.45
Restaurant 25;Downtown;Mexican;4.2;75;35.47;2035;24134;3;651;1.976.469.341.342.260;7.9;6.2;Yes;35;2;599518.34
Restaurant 26;Downtown;Indian;3.3;82;37.69;1418;18874;3;67;21.453.572.446.586.300;3.2;1.3;Yes;51;17;687854.64
Restaurant 27;Rural;American;3.5;41;43.3;3124;37912;14;268;2.744.405.859.037.030;2.7;3.0;No;13;19;414143.9
Restaurant 28;Rural;Italian;4.7;32;53.33;2362;29777;8;561;20.605.473.886.592.400;2.8;1.6;Yes;16;23;392170.36
Restaurant 29;Rural;Indian;3.7;35;30.67;2749;29486;8;227;10.744.991.945.883.000;9.4;2.8;No;27;15;256525.49
Restaurant 30;Suburban;Italian;4.0;68;47.24;3194;36724;9;258;2.262.285.170.828.840;2.5;5.4;No;5;9;724252.64
Restaurant 31;Rural;Japanese;4.9;40;70.4;2029;27413;18;862;24.247.269.352.847.400;4.1;3.7;No;8;21;646783.75
Restaurant 32;Suburban;French;3.5;53;59.05;2351;31725;7;576;20.883.615.580.370.600;5.4;1.8;No;10;19;703970.55
Restaurant 33;Suburban;American;3.8;64;39.52;3799;44954;10;284;11.839.236.586.058.000;6.0;5.3;Yes;7;48;580250.12
Restaurant 34;Rural;Indian;4.2;31;38.6;956;14320;1;184;149.979.462.398.385;8.7;7.4;No;14;15;274742.8
Restaurant 35;Suburban;French;4.5;64;55.16;4028;40754;4;258;16.764.810.191.168.500;2.0;1.5;Yes;51;9;790777.86
Restaurant 36;Rural;American;4.8;46;42.27;3810;44176;4;260;8.632.460.453.859.490;2.0;8.9;Yes;22;25;445708.47
Restaurant 37;Rural;American;4.8;31;35.0;4536;51384;14;716;16.305.581.361.499.600;3.8;6.9;Yes;5;16;268505.2
Restaurant 38;Downtown;American;4.6;76;35.69;3560;41693;5;601;9.029.935.583.230.020;4.7;5.7;Yes;38;11;614599.82
Restaurant 39;Rural;French;3.5;45;59.49;2143;21600;5;322;17.486.293.601.821.300;4.4;4.6;No;10;6;601664.29
Restaurant 40;Downtown;Indian;3.0;74;39.25;2397;29088;19;209;6.270.268.963.819.650;4.5;4.5;No;4;60;667565.4
Restaurant 41;Rural;Mexican;3.8;45;26.59;3754;44524;5;193;2.871.328.729.903.000;8.7;4.0;No;30;32;283286.23
Restaurant 42;Rural;French;3.3;48;61.1;2520;28671;11;752;11.158.621.606.746.400;8.5;2.0;Yes;15;43;668794.55
Restaurant 43;Downtown;American;4.4;71;42.46;6923;75267;2;557;16.675.357.746.440.200;8.2;1.7;No;29;61;686243.79
Restaurant 44;Downtown;Indian;4.3;84;32.52;3365;37755;15;783;5.818.804.413.308.940;7.8;3.8;No;24;17;628872.49
Restaurant 45;Rural;Japanese;3.1;33;70.64;1576;20621;14;383;9.818.038.054.992.450;1.4;7.0;No;11;10;534359.77
Restaurant 46;Suburban;Italian;4.7;51;55.03;2420;26703;14;551;22.331.124.795.839.400;2.3;3.6;No;2;11;638362.61
